N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,T8,T13
645.4,2764.6,418.6,1228.4,1227,605.1,931.2,2440.3,2117.6,2727.2,555.8,252.1,2055.1,1083.6,254.7,268
496.9,1998.6,1036.1,1445.7,1269.7,1462.6,980,1246.4,1919.1,768,997.7,1008.9,1106.9,1847.5,1010.2,1051.2
1000.3,997.7,1118.4,1400.5,2127.1,1240.1,1383.9,1131.9,640.9,1294.2,1722.7,502.2,1968.2,1753.2,849,1741
1168.5,1105.5,1221.4,1053.9,1185.1,316.5,2017.4,1116.2,679.7,1462.1,1225,501.4,1131.2,1022.5,1744.9,522.2
2263.5,620.6,944.7,2073.4,362.6,1524.5,1353.8,1985.7,732.3,1924,240.3,1014.3,1049,1241.7,969.7,1152.5
1878.6,1133.7,937.8,1107.1,1114.6,1141.3,948.2,1055.6,1190.3,1154.3,1194.7,2731.1,1053.2,210.1,935.4,1288.8
769.8,583.6,982,1386.1,701.2,1521.5,618.5,296.2,2005.4,1350.8,1144.5,1234,1345.6,970.2,1367.1,558.4
1161.7,1216.6,752.6,1221.8,1064.5,1166.7,2104.7,556.1,529.7,538.5,1087.4,884.3,627.4,573.7,568.3,1072.4
519.4,1181.8,1240.3,871,1133.7,660.1,307.2,815.9,2088.8,1412.2,1209.1,1858.6,274.6,1114,990.8,530.7
1213.3,1203.7,1278.2,1418,938.7,675.5,2052.9,2266.4,1584.3,1577.6,1070.1,1209.1,638.6,1274.5,211.9,475.5
271.3,1251.2,1088.2,1853.9,991.8,1211.4,1977.3,1094.6,995.4,2809.5,1126.3,1075.3,1137.3,1022.2,300.4,641.3
1065.4,1129.1,2041,2905.9,2039.6,1391.2,1064.2,634.9,1069,659.3,696.8,1034.5,1003,869.8,636.2,1084
1114.6,1078.9,577.8,1928.9,1064.5,2076.7,703,981.3,1858.4,1302.3,1603.3,1165.7,1053.1,984.7,1095.4,531.4
998.7,897,976.9,728.5,698.1,1430.9,1137.6,1088,1157.4,1135.8,1778.6,999.9,1014.2,912.1,1051.2,848.1
603.3,1985.9,1411.5,1371.7,1507.9,576.9,1325,670.6,215.9,973.3,1019.2,1111.8,1282.2,1183.3,1627,768.4
465.9,665.7,547.5,814.7,668,1375.8,583.8,663.5,602.5,1194.1,1649.6,226.9,1754,1031.5,925.1,925.5
489.4,622,791.5,1527.4,1279.3,1278.6,1120.2,1767.5,1951.6,1157.1,999.7,772.3,1048.1,1025.5,1007.7,535
744.5,651.6,2160.2,1240.9,1386.9,1091,1989.2,533.7,1175.2,811.5,550.8,903.3,1198.1,1045,1013.4,765.7
1287.4,1075,1043.6,883.2,1210.8,632,1163.4,510.3,1553.7,1554.9,549.3,1790,517.3,1045.7,937,1196.4
617,629.9,1181.1,1244.6,1368.3,1867.4,1145,1041.4,1307.2,1948.5,1017.2,299.7,591.2,605.9,527.3,1326.6
1802.8,557.6,1229.2,1285.8,761.2,885,1252.9,287.9,627.8,582.1,1071.2,976.2,660.3,627.6,275.4,1077
1154.5,1356.8,1016.7,1230.5,1251.3,1126.3,578.9,1991.1,1180.4,1175.7,600.9,289.3,1143.1,1152.9,873.7,518.4
511.3,1081.9,1148,1187.1,1539.3,832.6,1032.2,1175.6,2951.4,1493.8,508.6,1253.5,274.7,1071.3,567.9,1077
583.8,650.6,1161,1400,1209.7,1158.2,1236.1,2036.1,1947.7,1004.9,497.7,644.5,1155.2,913,454.2,566.8
209.5,1351.4,1368.9,1510.5,1334.7,2093.1,1151.1,232.3,1467.5,854.5,1050.3,1059.5,1040.8,1040.6,1008.8,1016.3
987.4,666.2,1862.5,1233.6,246.9,1185.2,1078.4,1276.8,2634.6,1076.1,505.5,1261,1062.8,2826.3,1203.9,532.2
1080.5,1071.9,993.5,1875.6,2036.3,1289.5,475.5,588.6,1177.8,1811.6,1005.8,1986.3,528.4,1249.3,825,513.9
930.2,1087.2,1192.5,1744.7,1130.4,597.3,993.6,573.4,634.5,978.6,1874.9,1385.4,1022.9,1978.4,361.7,1631.4
518.4,1017.4,1659.6,1387,1778.5,1133.9,1419.8,1261,2102.9,1254.5,1202.4,701.3,1288.1,1034.2,1042.8,1021.2
511,544.7,503.5,1999,663.6,1418.6,1303.7,893.4,2078.3,261.9,603.2,1051.6,857.4,1263.4,884.6,1222.9
1109.7,900.2,967.7,1917.7,525.4,1001.9,958,1484.6,1717.9,1265.6,1047.4,550.2,920.4,781,1065.4,560.1
1035.7,285.2,2233.8,1049,553.9,2074.3,702.1,262.6,1148.8,1328.6,611.6,583.2,1168.5,1083.8,1059.5,590.4
748.4,1100.6,2441,1726.6,1223.4,1223.2,966.1,1779.4,1137.6,1026.5,533.2,1100.1,814.2,501.3,562.7,549.8
1068.2,668.3,1369,1981.3,1053.1,972.8,1121.5,970.6,675.8,1183.9,636,997.4,1144.2,624.4,2934.8,1966
1079,645.7,1502.1,2069.6,1477.9,1469,1808.7,1521.5,991.4,300.7,560.7,843.9,1059.7,1798,1011.8,1056.4
995.8,1059.6,684.7,1814.4,697.7,638,1946.3,2153.9,377.1,875.1,617.7,689.8,781.3,687.5,318.8,1066.4
1075.4,564,1028.6,1106.3,1834.8,1494,591.7,1142,773.3,1383.9,976.3,268.6,524.2,744.9,493.1,1052.1
664.9,623.5,1283.5,699.1,1989.8,1107.9,1984,1140.3,1082.8,701.5,1081.7,222,1032.6,1162.8,1051.5,891.7
620.9,1808.8,1289.1,1394.8,1177.5,2121.1,2620.4,1037.3,1479.5,624.7,1097.1,882.3,1751,1084.8,306.7,521
267.1,1226.4,1273.4,2003.8,1480.8,943,1031.2,2004.8,294.8,1253.9,1747.7,2680.6,1034.8,962.7,1052,1268.8
660,1156.4,1086.7,1113.8,1585.5,1216.2,768.3,2036.2,629.5,1325.6,1065.9,1166.7,1918.7,959.8,1001.9,960.2
636.2,691.2,1269,760.1,1521.8,1148.6,862.7,2079.3,1076.4,1554.6,1280,1052.1,821.3,835.9,990.1,3148.4
1089.8,1849.8,281.3,1436.9,1396.6,1201.7,2061.1,554.8,1200.4,1862.9,774.3,579.2,1058.2,1078.8,559.1,558.4
637,1113,1816.1,568.7,1210.4,1548.5,1137.3,931.3,1266.1,1445.5,561.5,970.8,814.1,599.5,1261.9,1061.2
598.8,1144,1229.5,1343.9,1235.4,1032.9,991,997.2,1064.3,747.1,1041,1136.5,1879.4,1372.7,274.6,510.1
1794.2,555.1,1331.2,1097,1292.5,1260.6,788.4,573,1067.4,552.6,1239.3,2110.5,953.1,901.6,1801.2,1097.6
622.6,1143,1370.9,1156.3,1171.7,605,1092.2,1263.4,1118.7,1001.9,1217,285.2,1034.5,1142.3,1049.5,673.8
566.5,1079.1,1264.8,1128.6,1216.4,1441.7,1080.7,1299,1147.7,1094,1416.2,1411,1134.4,1091.1,1031.5,509.2
543.5,987.2,688.3,1039.4,2064.6,1547.1,725.6,981.6,641.6,1073.9,551.2,1040.3,1063.3,581.5,1205.8,1650.3
1004.9,1117.7,1741.1,875.5,1322.2,713.1,1098.4,859.2,1124.9,1010.4,815.1,1214.9,1881.7,1152.8,1055.8,1038.6
1013.3,706,1276.2,549,1329.1,1462.8,1097.8,606.5,579.2,632,1111.4,1019.6,710.2,1045.9,573.7,502.3
604.4,678.7,2106.1,1406.4,872.4,1101.6,930.7,1844.6,924,1056.8,1061.9,712.2,1035.4,1063.6,636.1,1231
663.4,647.9,665.1,1431.6,2326.5,858.7,1134.6,603.4,1158.7,1951,549.2,986.9,622.5,898.8,890.7,1049.6
645.1,1170.7,2455.2,1408.3,1372.3,1813.8,1066.4,1014.8,819.7,1070,1033.4,606.2,1148.4,1082.3,537.4,1048.4
475.1,1041.2,1211,1152.1,1172.1,1233.1,1139.9,1056.3,503,883,526.5,344.9,970.5,975.9,1851,1891
128.9,999.5,1127.3,1284.8,696,944.7,1007.2,1916.1,1061.2,498.4,1165.1,589.4,1162.1,616.6,1058.7,521.4
564.9,773.3,824.6,648.1,1360,1302.4,1227.3,1263,2547.9,1041.1,2100,1131.2,540,940,682.4,1157.4
2994.5,1125,867.4,1876.7,1148.1,541.4,1345.8,558.1,1498.8,1123,2666.9,1028.2,1117.7,1948.4,543.5,921.9
510.2,1123.5,210.9,1373.6,510.2,3402,1911,1136.6,281.7,1908,1222.7,602.9,1138.7,976.3,385.3,986.5
629.5,242.7,1839.2,554.2,610.6,952.3,687.5,1199.3,2845.5,565.1,1738.7,535,1092.3,697.5,1038,1106.3
1031.2,549.8,691.1,519.9,1301.8,1027.7,3208.7,1793.6,684.1,584.7,547.3,1142,912.7,1174.6,1803.5,850.9
903.2,1162.7,682.3,1169.4,1118.3,1074,2076.6,948.7,1175.2,1152.5,1148.9,1682.2,565.5,1308.1,1025.7,1097.1
633.2,1267.3,1190.1,1914.7,268.9,256.3,1153.1,2086.5,607,1050.5,592.2,1131.2,813.6,856.4,580.4,283.2
474.5,542.3,639.9,1912.5,616.8,1195.9,1099.1,520.6,1176.6,2088.2,516.4,1874.3,605.9,296,1031.6,2731
1073.1,1033.6,1254.6,1380.2,619.3,1066.5,655.7,600,627.1,1103.7,1093.5,616.3,1052.2,1200.9,1224.2,1094.1
549.2,1208.7,682.1,1131.4,226.9,1092.7,738.8,1178.5,569.8,653.3,193.3,855.9,1158.8,547.1,613.9,978.5
1128.5,755.5,2068.2,1688.5,1788.9,1412.8,1416.9,2059.2,1202.2,1028.2,288.3,585.6,1920.6,1093.4,1741.3,1785.6
788.6,594.2,583.7,1801.5,1408.2,1005,1069.4,1094.1,1936.9,1002.2,1204.2,278.6,1041.7,1081.7,1051.3,1098.3
559.3,675.3,769.1,1126.3,567.9,1186,657.6,1011.5,1036.2,1233.8,1155.3,664.3,1732.7,740,1008.1,1069.8
1246.1,1431.3,1615.3,1894.9,1804.1,1042.9,1111.9,272.2,1176.4,547.6,270.9,1894.9,2654.4,1007.9,1055.7,581.9
979.2,973.5,1150.5,1085.9,1180.3,1281.8,1218.1,276.9,862.9,1413,544.3,610.9,890.9,1311.6,1740.6,506.9
535.7,1124.3,1283.5,1070.7,660.1,1888.9,1137.9,1156.8,1130.4,1357.3,1052.7,1066.5,2096.5,669.5,1007.9,1066.8
546.5,836.9,1223,1086.4,553.7,1560.6,1060.6,545.3,1729.7,1323.3,552.6,1604.3,947,1011.5,1078.9,526.1
777.5,739.5,1054.1,1224,560,1888,1982.7,1023.9,565.2,1217.5,533.7,2078,1049.9,626.6,814.9,537.8
686,603.1,1128.6,985.3,638.5,2193.3,1976.7,563.5,1055.8,255.7,1055.1,2547.9,992.4,925.6,592.6,477.9
1040.1,751,1980.7,675.8,943,1154.6,,856.4,907.1,1221.8,1148.6,569.4,1000,566,1067.4,1145.1
1005.8,1077.9,1120.4,2157.3,1769.2,1196.3,,1108.5,1827.7,1265.3,601.8,970.9,930.5,695.8,1099.1,2128.8
597.4,567.1,2312.2,1823.7,1773.5,809.9,,1126.9,692.1,1092,616.5,808.7,1425.8,859.8,260.9,512.4
1805.8,1766.1,1020.4,1005.1,673.6,1206.8,,614.5,1929.8,1729.3,1129.3,1070.5,704.6,335.6,476,1192.5
1157.9,596.4,723.1,581.9,1038.7,1042.8,,490.5,557.5,1326.3,645.4,1020,500.9,,587.3,590.5
520.4,613.6,660.5,1005.7,493.3,1111,,1839.8,749.6,585.5,1098.8,1008.1,1090,,1783.4,1099.5
612.6,1142.6,1105.6,1284.9,264,628.1,,1391.5,887.9,339.7,1102.2,1108.1,1750.4,,503.5,1836.4
502.8,534.3,1051.1,1060.3,1027.7,293,,578,2166.1,1229,558.3,1830.5,1181,,574.3,662.9
538.1,630,1687.5,1890.7,1730.4,1094.6,,632.6,1028.7,628.3,620.2,1062.3,1193.3,,574.7,997
832.8,665.1,1440.5,1115.7,375.9,1920.5,,555.6,3351.4,1271.6,559.4,1121.1,1223.2,,999.8,1881.5
1182.3,1244.2,625.8,551.7,2108.8,1063.5,,545.7,1842.3,,1010.5,567.1,1127.4,,2099.3,528.4
1187.1,522.7,1061.6,1006.2,581.4,285.7,,1327.7,1096.4,,1925,1575.7,548.9,,1239.1,898.8
1146,560.4,1504.2,1221.5,1950,1929.9,,619.3,348.5,,774.6,601.5,1251.9,,1069.2,637.5
1142.5,572.4,777.5,1015.7,672.1,1513.9,,871,1299.9,,1190.5,535.1,520.4,,834.7,260
1082.8,1586.2,1324,1094,1196.1,1302.6,,508.7,1084.2,,677.1,1085.4,1101.5,,587.5,1267.9
284.6,,1374,1019.2,1920.7,1179.8,,1128,1169.6,,1220.1,1016.8,1199.9,,305.7,553.2
563.3,,1138.5,650.2,1231.8,675.7,,1134.6,1192.4,,676.1,1977.5,801.8,,1083.1,2759.3
516.3,,1172.2,722,621.5,1040.6,,624.1,1353.7,,2144.9,632.6,1110.4,,1071.1,276.2
1366.4,,1626.6,515.8,1111.6,511.9,,583.9,2044,,1141.7,1025.5,1066.9,,279.8,525.7
1041.8,,531.8,970.6,1589.4,529.5,,1916.7,1102.7,,1789.1,1112.4,1552.4,,545,1166.5
1016.8,,1065.6,1026.8,1798.8,1026.6,,1077.8,1903.9,,561,283.2,1019.8,,542,1046
743,,1007.7,1930.9,1995.4,563.4,,1205,831,,565.7,1013.9,1783.7,,796.6,1305.5
577.2,,963.8,930.7,1142.1,1302.4,,261.8,1311.8,,1087.8,485.5,969,,3017.4,1097.6
1110.6,,644.2,529.2,1223.8,2858.8,,1064.8,1916.6,,608.6,1834.3,1913.8,,2261.8,930.5
,,1865.9,1138.9,554.5,1223.4,,1168.1,1977,,623.9,920.7,1848.9,,575.5,542.6
,,,,,,,,,,,,,,,409.4
,,,,,,,,,,,,,,,703.6
,,,,,,,,,,,,,,,521
,,,,,,,,,,,,,,,1906.7
,,,,,,,,,,,,,,,1002.5
,,,,,,,,,,,,,,,1215.5
