"J","err[J]",,,,
0.007608838,0.0000190,,,,
"Ar39Ar40","errAr39Ar40","Ar36Ar40","errAr36Ar40","Ar39Ar36","errAr39Ar36"
0.00455361,0.00224234,0.00275965,0.00077993,1.65006753,0.93009176
0.00750545,0.00017841,0.00213400,0.00005101,3.51708702,0.11740761
0.02694659,0.00006812,0.00230569,0.00001750,11.68698704,0.09241848
0.05035597,0.00007579,0.00247113,0.00001278,20.37766953,0.10863816
0.06314063,0.00007635,0.00238603,0.00000711,26.46266599,0.08312922
0.09736973,0.00010066,0.00183935,0.00000546,52.93697092,0.15734247
0.12364790,0.00012470,0.00148798,0.00001027,83.09764683,0.57839869
0.16331400,0.00013827,0.00084059,0.00000326,194.28512356,0.75988506
0.16636073,0.00009456,0.00081830,0.00000358,203.30059638,0.88895174
0.17342377,0.00008007,0.00069327,0.00000247,250.15196844,0.89357971
0.16882484,0.00010857,0.00076984,0.00000534,219.29834304,1.52314302
0.16810922,0.00009152,0.00076617,0.00000510,219.41470909,1.45743969
0.16112593,0.00014445,0.00087922,0.00000265,183.26035451,0.55666518
0.13930648,0.00012351,0.00119408,0.00000522,116.66453524,0.51691077